ABHA1
ABTH_1
ACTL_2
ACTL_C
ALST_3
ALVE1
AMEM_1
AXMI1
BARKC1
BARKW3
BEDDT1
BEDD_1
BESW_1
BICF_1
BIRK_1
BISW_1
BLYTB1
BLYTH132
BOLN_1
BOTW_1
BRAI_1
BRAW_1
BRED_1
BRFO_1
BRIM_1
BRLE_1
BRWA1
BURM_1
BUSH_1
BUST_1
CAMB_01
CANTN1
CAPEA1
CARE_1
CARR_1
CBNK_H
CELL_1
CHIC_1
CHSI_1
CHTE_1
CITR_1
CLT03
CONQA1
COVE_1
COWL_1
CREB_1
DRAK_1
DRAX_1
EALI_6
EASO_1
ECLA_1
ELLA_1
ELST_1
ENDE_1
EXET1
FAWL_1
FECK_6
FERRA2
FERRB1
FIDF_1
FLEE_1
FOUR_1
FROD_1
GREE_H
GREN_1
GRIW_1
HACK_1
HACK_6
HAMHC1
HARK_1
HARM_6
HAWP_6
HEYS1
HEYS_1
HURS_1
HUTT_1
IMPK_1
INDQ1
IROA1
IRONB1
IVER_1
IVER_6
JORD_3
KEAD_1
KEAR_1
KEAR_3
KEMS_1
KIBY_1
KIBY_G
KINO_1
KIRKB1
KITW_1
KNAR
LACK_6
LALE1SG003
LAND1
LEGA_1
LISD_1
LITT_C
LITT_J
LODR_6
LOUD_H
LOVE_1
MACC_3
MAGA_6
MANN_1
MELK_1
MILH_1
MITY_1
NECE_1
NEEP_3
NEWX_6
NFLE
NHYD_6
NINF_1
NORL_3
NORM_1
NORT_1
NURS_1
OCKH_1
OFFE_3
OLDB_1
ORMO
OSBA_1
PADIB1
PELH_1
PEMB_1
PENE_1
PENN_1
PENT_1
PENW_1
PERI_H
PITS_3
POPP_3
PYLE_1
RAIN_1
RASS_1
RATS_1
RAYL_1
REBR_3
RICH1
ROCH_1
RRIG
RUGEB1
RYEH_1
SALH_1
SALL1
SALT_1
SASA
SBAR
SEAB1
SELL_1
SHEC_3
SHRW_1
SJOW_1
SKLGB1
SMAN_1
SPEN_1
SSHI_3
STAH_1
STAL_1
STAY_1
STEN_1
STES_1
SUND_1
SWAN_1
TAUN1
TEMP_3
THOM_6
THUR_6
TILBB_1
TOTT_1
TRAW_1
TYNE_1
TYNE_2
UPPB_1
UPPB_3
USKM_1
WABO
WALH_1
WALP_1
WALP_B
WARL_1
WASF_1
WATFS_1
WBOL_6
WBUR_1
WHAM_1
WHGA_1
WIBA_3
WIEN_1
WILL_1
WIMBN1
WIMBS1
WISD_1
WISD_6
WMEL_1
WTHU31
WWEY_1
WYLF_1
WYMOM_1
ABNE_P
ALNE_P
ARBR_P
ARDK_P
ARMO_P
AYRR
BAGA
BAIN
BEAU_P
BERB_P
BERW
BOAG_P
BONN
BRAC_P
BRAP
BRID_P
BROA_P
BROR_P
BROX
BUMU_P
CAAD_P
CAFA
CAIF_P
CASS_P
CATY
CEAN_P
CHAP
CHAR_P
CHAS
CLAC_P
CLAY_P
CLYM
COAT
COCK
COUA_P
COYL
CRAI_P
CROO
CUMB
CUPA
CURR
DALL_P
DALM3
DEVM
DEVO
DEWP
DOUN_P
DRCR
DRUM
DUBE_P
DUDH_P
DUGR_P
DUMF
DUNB
DUNF
DUNO_P
DYCE_P
EAST
ECCL
EERH
EKIL
EKIS
ELDE
ELGI_P
ERSK
FASN_P
FAUG_P
FETT_P
FIDD_P
FINN
FRAS_P
FWIL_P
GALA
GIFF
GLAG_P
GLEF_P
GLLE
GLLU
GLNI
GLRO
GORG
GOVA
GRMO
GRUB_P
HAGR
HARG_P
HAWI
HELE
HUER
INKE
INNE_P
JOHN
KAIM
KEIT_P
KEOO
KIER
KIIN_P
KILB
KILS
KILT
KILW
KINL_P
KINT_P
LAIR_P
LEVE
LING
LINM
LUNA_P
LYND_P
MACD_P
MAYB
MILC_P
MYBS_P
NAIR_P
NEAR
NETS
ORRI_P
PAIS
PART
PEHG_P
PEHS_P
PERS_P
POOB
PORA_P
PORD
QUOI_P
RANN_P
RAVE
REDH
REDM_P
SACO
SANX
SFEG_P
SFIL_P
SHIN_P
SHRU
SIGH
SLOY_P
SPAV
STHA
STIR
STLE
STOR_P
STRI_P
TARL_P
TAYN_P
TELR
THSO_P
TONG
TOWH
TUMB_P
WFIE
WGEO
WHHO
WIOW_P
WISH
WOHI_P
